DateTime,Entries,UniqueIPs
1568372417,2021,34672426
1568458822,2010,34672452
1568545220,1981,34672449
1568631616,1990,34672464
1568718021,2015,34672486
1568804418,2026,34672497
1568890821,2052,34672523
1568977216,2081,34672549
1569063616,2079,34672469
1569150016,2014,34672366
1569236421,1954,34672292
1569322818,1916,34672244
1569409217,1874,34672201
1569495617,1839,34672164
1569582016,1858,34672185
1569668418,1854,34672160
1569754817,1807,34672112
1569841215,1790,34672092
1569927617,1788,34672084
1570014024,1824,34672134
1570100416,1841,34672165
1570186817,1835,34672160
1570273216,1824,34672150
1570359617,1812,34672136
1570446019,1758,34672064
1570532418,1734,34672054
1570618819,1738,34672095
1570705217,1722,34672079
1570791617,1848,34672201
1570878018,1801,34672159
1570964417,1829,34672188
1571050819,1870,34672229
1571137217,1891,34672247
1571223616,1896,34672247
1571310016,1895,34672246
1571396417,1887,34672221
1571482816,1895,34672200
1571569217,1920,34672232
1571655617,1810,34672133
1571742016,1797,34672113
1571828417,1748,34672050
1571914817,1708,34672003
1572001216,1688,34671984
1572087617,1685,34671981
1572174017,1684,34671981
1572260416,1678,34671975
1572346820,1651,34671945
1572433221,1608,34671919
1572519627,1547,34671854
1572606024,1544,34671848
1572692416,1541,34671845
1572778816,1556,34671860
1572865217,1548,34671851
1572951616,1550,34671852
1573038017,1557,34671859
1573124417,1555,34671857
1573210816,1551,34671860
1573297217,1546,34671833
1573383617,1549,34671836
1573470017,1544,34671831
1573556418,1542,34671830
1573642818,1527,34671815
1573729219,1531,34671818
1573815617,1543,34671830
1573902017,1542,34671829
1573988416,1553,34671840
1574074817,1559,34671847
1574161217,1574,34671903
1574247616,1577,34671906
1574334018,1592,34671921
1574420418,1591,34671923
1574506818,1591,34671929
1574593219,1584,34671922
1574679618,1580,34671918
1574766018,1575,34671914
1574852418,1569,34671912
1574938818,1563,34671908
1575025217,1598,34671920
1575111618,1623,34671948
1575198017,1641,34671964
1575284418,1667,34671991
1575370819,1647,34671958
1575457217,1664,34671978
1575543619,1662,34671983
1575630017,1673,34671994
1575716419,1666,34671987
1575802818,1676,34671995
1575889218,1669,34671988
1575975618,1693,34672014
1576062020,1782,34672108
1576148418,1958,34672289
1576234823,1974,34672301
1576321222,2009,34672344
1576407618,2029,34672367
1576494019,2034,34672368
1576580418,2044,34672382
1576666818,2165,34672508
1576753217,2159,34672504
1576839617,2139,34672482
1576926018,2084,34672419
1577012419,1954,34672283
1577098818,1958,34672291
1577185219,1975,34672302
1577271618,2053,34672385
1577358017,2105,34672467
1577444418,2212,34672597
1577530818,2103,34672490
1577617223,2102,34672486
1577703623,2181,34672568
1577790017,2171,34672564
1577876418,2141,34672535
1577962822,2135,34672528
1578049219,2134,34672526
1578135617,2091,34672462
1578222018,2100,34672443
1578308417,2070,34672403
1578394818,2074,34672403
1578481219,2083,34672411
1578567619,2089,34672423
1578654018,2127,34672473
1578740418,2136,34672527
1578826818,2190,34672603
1578913219,2154,34672560
1578999619,2136,34672546
1579086018,2083,34672513
1579172420,1998,34672429
1579258819,1980,34672412
1579345218,1977,34672409
1579431618,1919,34672293
1579518018,1848,34672206
1579604420,1829,34672143
1579690819,1792,34672148
1579777220,1845,34672203
1579863620,1914,34672279
1579950020,1970,34672336
1580036418,1992,34672365
1580122820,1995,34672368
1580209220,2024,34672412
1580295619,2065,34672465
1580382019,2092,34672534
1580468424,2094,34672542
1580554819,2068,34672503
1580641219,1983,34672426
1580727623,1936,34672374
1580814019,1894,34672319
1580900420,1874,34672322
1580986819,1861,34672327
1581073219,1850,34672294
1581159619,1814,34672226
1581246019,1773,34672176
1581332419,1796,34672198
1581418819,1792,34672195
1581505219,1789,34672199
1581591620,1753,34672158
1581678020,1736,34672131
1581764421,1714,34672102
1581850819,1742,34672131
1581937219,1761,34672156
1582023619,1807,34672210
1582110019,1805,34672228
1582196466,1782,34672200
1582283046,1888,34672301
1582369219,1927,34672350
1582455619,1999,34672415
1582542019,2063,34672483
1582628420,2169,34672615
1582714820,2161,34672604
1582801219,2149,34672592
1582887619,2147,34672584
1582974024,2189,34672632
1583060419,2203,34672655
1583146821,2125,34672579
1583233219,2090,34672509
1583319628,2015,34672433
1583406019,1991,34672389
1583492419,1970,34672597
1583578819,1969,34672595
1583665219,1983,34672608
1583751619,1981,34672603
1583838020,2012,34672598
1583924420,1995,34672603
1584010820,1958,34672564
1584097221,1925,34672550
1584183619,1927,34672560
1584270019,1921,34672555
1584356420,1902,34672301
1584442819,1910,34672306
1584529225,1873,34672278
1584615619,1867,34672280
1584702019,1864,34672277
1584788420,1838,34672250
1584874820,1830,34672238
1584961219,1827,34672220
1585047622,1837,34672222
1585134021,1846,34672232
1585220426,1831,34672216
1585306822,1833,34672216
1585393221,1844,34672225
1585479620,1856,34672232
1585566020,1831,34672205
1585652422,1825,34672197
1585738820,1815,34672185
1585825220,1797,34672165
1585911623,1779,34672142
1585998024,1761,34672113
1586084420,1774,34672125
1586170820,1787,34672135
1586257220,1803,34672168
1586343620,1818,34672208
1586430023,1879,34672281
1586516420,1878,34672259
1586602820,1893,34672295
1586689220,1890,34672290
1586775624,1877,34672299
1586862021,1918,34672338
1586948421,1913,34672328
1587034821,1921,34672329
1587121220,1925,34672320
1587207620,1906,34672289
1587294020,1887,34672271
1587380422,1877,34672271
1587466821,1878,34672269
1587553220,1895,34672293
1587639620,1907,34672287
1587726021,1880,34672280
1587812421,1902,34672328
1587898820,1912,34672358
1587985221,1924,34672380
1588071620,1949,34672409
1588158022,1978,34672444
1588244440,1984,34672442
1588330820,1966,34672395
1588417221,1929,34672326
1588503620,1916,34672295
1588590020,1875,34672238
1588676420,1868,34672213
1588762820,1836,34672171
1588849221,2053,34672408
1588935620,2101,34672487
1589022020,2111,34672493
1589108421,2102,34672471
1589194821,2122,34672496
1589281225,2344,34672738
1589367620,2419,34672829
1589454021,2450,34672861
1589540422,2431,34672841
1589626820,2433,34672850
1589713222,2234,34672609
1589799621,2166,34672520
1589886022,2181,34672533
1589972421,2157,34672516
1590058821,2132,34672489
1590145221,1945,34672271
1590231622,1875,34672197
1590318022,1848,34672190
1590404421,1854,34672194
1590490821,1837,34672179
1590577221,1830,34672171
1590663621,1811,34672150
1590750021,1794,34672132
1590834622,1792,34672127
1591270221,1766,34672099
1591356622,1773,34672110
1591443021,1780,34672121
1591529421,1783,34672127
1591615824,1776,34672120
1591702220,1759,34672104
1591788621,1757,34672102
1591875021,1727,34672070
1591961421,1707,34672049
1592047821,1701,34672040
1592134222,1705,34672041
1592220621,1681,34672017
1592307022,1672,34672005
1592393424,1675,34672006
1592479822,1719,34672051
1592566222,1752,34672089
1592652624,1779,34672117
1592739022,1813,34672152
1592825422,1813,34672153
1592911822,1831,34672174
1592998222,1810,34672153
1593084621,1812,34672157
1593171022,1808,34672154
1593257421,1795,34672140
1593343821,1746,34672094
1593430234,1726,34672080
1593559823,1807,34672162
1593646224,1793,34672146
1593732621,1812,34672174
1593819021,1823,34672185
1593905421,1862,34672226
1593991822,1884,34672250
1594078221,1897,34672258
1594164621,1911,34672272
1594251021,1936,34672298
1594337422,1948,34672305
1594423822,1856,34672213
1594510220,1862,34672216
1594596620,1847,34672203
1594683021,1847,34672203
1594769421,1820,34672178
1594855821,1861,34672220
1594942220,1876,34672227
1595028621,1854,34672198
1595115020,1807,34672131
1595201421,1771,34672095
1595287821,1761,34672081
1595374221,1732,34672054
1595460621,1730,34672053
1595547021,1743,34672065
1595633421,1707,34672019
1595719821,1693,34672037
1595806222,1705,34672053
1595892621,1725,34672074
1595979021,1755,34672105
1596065422,1771,34672120
1596151823,1787,34672136
1596238222,1787,34672141
1596324621,1789,34672141
1596411030,1773,34672123
1596497421,1773,34672124
1596583823,1792,34672125
